key,Portuguese,English,Context / Notes
title_screen/new_game,Novo Jogo,New Game,
title_screen/continue,Continuar,Continue,
title_screen/credits,Créditos,Credits,
title_screen/quit,Sair,Exit,
title_screen/options,Opções,Options,
title_screen/follow,Siga a gente!,Follow us!,
title_screen/discord,Junte-se ao nosso Discord!,Join us on Discord!,
title_screen/play_more_games,Jogue mais jogos!,Play more games!,
crosspromotion/title,Jogue nossos outros jogos :),Play our other games :),
options_panel/graphics_title,Gráficos,Graphics,
options_panel/fullscreen,Tela Cheia,Fullscreen,
options_panel/display_resolution,Resolução,Resolution,
options_panel/sound_title,Som,Sound,
options_panel/master,Mestre,Master,
options_panel/music,Música,Music,
options_panel/sfx,Efeitos Sonoros,Sound Effects,
options_panel/language_title,Idioma,Language,
options_panel/gameplay,Jogabilidade,Gameplay,
options_panel/progress,Progresso,Progress,
ui/day,Dia,Day,
ui/skip,Pular,Skip,
ui/log,Log,Log,
ui/humans,PILOTOS,PILOTS,
ui/inventory,INVENTÁRIO,INVENTORY,
ui/system,SISTEMA,SYSTEM,
ui/extras,EXTRAS,EXTRAS,
relationship_level/colleagues,Colegas,Colleagues,
inventory/title,Inventário,Inventory,
inventory/buy,Loja - Comprar,Store — Buy,
inventory/sell,Loja - Vender,Store — Sell,
inventory/equip,Escolha item para equipar:,Select an item to equip:,
inventory/gift,Escolha item para entregar:,Select an item to give:,
inventory/you_have,Você tem:,You have:,
inventory/empty,Nenhum item disponível,No items available,
inventory/acquire_single_item,Você adquiriu <color=#D73022>\vsn(item_name)</color>!,You acquired <color=#D73022>\vsn(item_name)</color>!,
inventory/acquire_multiple_items,Você adquiriu <color=#D73022>\vsn(item_name) x\vsn(item_amount)</color>!,You acquired <color=#D73022>\vsn(item_name) x\vsn(item_amount)</color>!,
skilltree/button,Habilidades,Skills,
skilltree/active,[Ativa],[Active],
skilltree/passive,[Passiva],[Passive],
skilltree/locked,[Bloqueada],[Locked],
skilltree/heartKeys,Chaves de Coração:,Heart Keys:,
skilltree/confirmMessage,Você gostaria de comprar a habilidade <color=#D73022>\vsn(selected_skill)</color>?,Would you like to buy the skill <color=#D73022>\vsn(selected_skill)</color>?,
skilltree/unlockRequisiteSkill,Desbloqueie a habilidade abaixo para poder comprar esta.,Unlock the skill below to be able to buy this one.,
skilltree/noRequisiteSkill,Esta habilidade é desbloqueada jogando o jogo.,This skill is unlocked by playing the game.,
skilltree/affects,para,for,
skilltree/affects_couple,para o casal,for the couple,
girl_interaction/dialog,Conversar,Talk,
girl_interaction/gift,Presentear,Gift,
girl_interaction/date,Encontro,Date,
system_screen/save,Salvar,Save,
system_screen/load,Carregar,Load,
system_screen/exit,Sair do Jogo,Exit Game,
system_screen/playtime,Tempo de Jogo,Playtime,
save_load_panel/title_save,Salvar - Escolha um arquivo:,Save — Select a file:,
save_load_panel/title_load,Continuar - Escolha um arquivo:,Continue — Select a file:,
save_load_panel/file,Arquivo,File,
save_load_panel/auto_save,Auto-Save,Auto-Save,
save_load_panel/chapter,Capítulo 1,Chapter 1,
save_load_panel/empty,Vazio,Empty,
char_name/none,,,
char_name/couple,XXXXX e YYYYY,XXXXX and YYYYY,
char_name/marcus,Marcus,Marcus,
char_name/agnes,Agnes,Agnes,
char_name/maya,Maya,Maya,
char_name/fly,Voador,Fly,
char_name/brute,Bruto,Brute,
char_name/boss,Chefe,Boss,
skill/name/punch,Soco,Punch,
skill/description/punch,Causa dano baseado em Valentia,Deals Guts-based damage,
attribute/movementRange,Deslocamento,Movement,
attribute/attack,Ataque,Attack,
attribute/agility,Iniciativa,Initiative,
attribute/dodgeRate,Taxa de Esquiva,Dodge Rate,
attribute/hp,PV,HP,
attribute/sp,PH,SP,
attribute/lvl,NV,LV,
choices/yes,Sim,Yes,
choices/no,Não,No,
choices/confirm,Confirmar,Confirm,
choices/cancel,Cancelar,Cancel,
enemy/name/fly,Voador,Fly,
enemy/name/brute,Bruto,Brute,
enemy/name/boss,Chefe,Boss,
item/description/heal_hp,Restaura <color=#D73022>\vsn(heal_hp_value) PC</color>.,Restores <color=#D73022>\vsn(heal_hp_value) HP</color>.,
item/description/heal_sp,Recupera <color=#D73022>\vsn(heal_sp_value) PH</color> de um aliado.,Restores <color=#D73022>\vsn(heal_sp_value) SP</color> to an ally.,
item/description/heals_status,Cura um aliado de:,Heals an ally from:,
item/description/gives_status,Torna um aliado:,Gives an ally:,
item/description/name_prefix,,XXXXX's ,
item/description/name_suffix, da XXXXX,,
item/description/belongs_to, Pertence à XXXXX., Belongs to XXXXX.,
item/give/message,\boy entrega <color=#D73022>\vsn(item_name)</color> para \girl.,\boy gives <color=#D73022>\vsn(item_name)</color> to \girl.,
item/name/sports_clothes,Roupas Esportivas,Sports Clothes,
item/description/sports_clothes,Um conjunto de roupas ideal para se exercitar.,A perfect outfit for working out.,
item/name/lab_coat,Jaleco,Lab Coat,
item/description/lab_coat,Uma peça de roupa utilizada para proteção normalmente por médicos e cientistas.,A protective item of clothing usually worn by doctors and scientists.,
item/name/flower_dress,Vestido Florido,Floral Dress,
item/description/flower_dress,Um bonito vestido florido.,A pretty floral dress.,
item/name/teddy_bear,Ursinho de Pelúcia,Teddy Bear,
item/description/teddy_bear,Um ursinho de pelúcia muito fofo.,A very cute Teddy Bear.,
item/name/old_teddy_bear,Ursinho Antigo,Old Teddy Bear,
item/description/old_teddy_bear,"Um ursinho de pelúcia antigo, com um olho faltando e retalhos pelo corpo.","An old Teddy Bear, missing an ear and covered in patches.",
item/name/delicate_key,Chave Delicada,Delicate Key,
item/description/delicate_key,Uma chave usada para abrir algum cadeado delicado.,A key that opens a delicate padlock.,
item/name/book_draft,Rascunhos do Livro,Book Draft,
item/description/book_draft,Rascunhos do último livro da série Poço da Perdição.,Draft of the last book in the Pit of Damnation series.,
item/name/experiment_drafts,Anotações Científicas,Scientific Notes,
item/description/experiment_drafts,Notas escritas à mão sobre um experimento.,Hand-written notes on an experiment.,
item/name/tragic_newspaper,Recorte de Jornal,Newspaper Clipping,
item/description/tragic_newspaper,Este recorte noticia a morte do cientista Thomas Hartley.,This clipping reports the death of scientist Thomas Hartley.,
item/name/chocolate_cake,Bolo de Chocolate,Chocolate Cake,
item/description/chocolate_cake,Bolo muito saboroso sabor chocolate.,Delicious chocolate flavored cake.,
item/name/strawberry_cake,Bolo de Morango,Strawberry Cake,
item/description/strawberry_cake,Bolo muito saboroso sabor morango.,Delicious strawberry flavored cake.,
item/name/pepper_cake,Bolo de Pimenta,Chili Pepper Cake,
item/description/pepper_cake,Bolo muito exótico sabor pimenta.,Very exotic chili pepper flavored cake.,
item/name/cake_batter,Massa de Bolo,Cake Batter,
item/description/cake_batter,Utilize durante a noite para fazer um bolo.,Use it at night to bake a cake.,
item/name/sensor,Lente Angelical,Angelic Lens,
item/description/sensor,Use em um inimigo para detectar suas fraquezas. Recarrega no final de cada Encontro.,Use on an enemy to detect their weaknesses. Recharges at the end of each Date.,
item/name/first_aid,Curativo,Bandage,
item/name/calming_tea,Chá Calmante,Calming Tea,
item/name/soft_drink,Refrigerante,Soft Drink,
item/description/soft_drink,Bebida refrescante.,Refreshing beverage.,
item/name/holy_drink,Bebida Celestial,Holy Drink,
item/description/holy_drink,Uma bebida sagrada produzida no Céu.,A sacred beverage made in Heaven.,
status_condition/turns,turnos,turns,
status_condition/resisted,Resistiu,Resisted,
status_condition/resisted_description,\vsn(target_name) resistiu a ficar \vsn(condition_name).,\vsn(target_name) resisted becoming \vsn(condition_name).,
status_condition/immune,Imune!,Immune!,
status_condition/name/encouraged,Encorajado,Encouraged,
status_condition/name/focused,Focado,Focused,
status_condition/name/inspired,Inspirado,Inspired,
status_condition/name/fortified,Fortificado,Fortified,
status_condition/name/fear,Amedrontado,Frightened,
status_condition/description/fear,Incapaz de usar ações diferentes de Defender,Can only Defend,
status_condition/name/injured,Machucado,Injured,
status_condition/description/injured,Recebe dano baseado em Valentia todo turno.,Receives Guts-based damage every turn,
status_condition/name/sad,Triste,Sad,
status_condition/description/sad,Recebe dano baseado em Inteligência todo turno.,Receives Intelligence-based damage every turn,
status_condition/name/dirty,Melecado,Dirty,
status_condition/description/dirty,Recebe dano baseado em Carisma todo turno.,Receives Charisma-based damage every turn,
status_condition/name/weakened,Enfraquecido,Weakened,
status_condition/name/hunger,Faminto,Hungry,
status_condition/description/hunger,Diminui 1/3 do dano de todo ataque realizado,Reduces damage dealt by attacks by 33%,
status_condition/name/dizzyness,Tonto,Dizzy,
status_condition/description/dizzyness,Diminui a chance de acerto de todo ataque realizado,Reduces hit chance of all attacks,
status_condition/name/confusion,Confuso,Confused,
status_condition/description/confusion,Chance de executar ações aleatórias ao invés da ação selecionada,"Chance to use a random action, different than the selected action",
status_condition/name/angry,Irritado,Angry,
status_condition/description/angry,Incapaz de usar ações diferentes de atacar com Valentia,Can only use Guts-based attacks,
status_condition/name/spotted,Percebida,Spotted,
status_condition/description/spotted,Não pode agir por alguns turnos,Cannot act for a few turns,
status_condition/name/charged,Carregado,Charged,
status_condition/description/charged,Dobra o dano do próximo ataque realizado,Doubles the damage of the next attack,
status_condition/effect/charged,\vsn(target_name) se prepara para dar usar uma habilidade muito forte no próximo turno.,\vsn(target_name) gets ready to use a very powerful skill next turn.,
status_condition/name/guardian,Protegendo,Protecting,
status_condition/description/guardian,Se torna o alvo do próximo ataque,Becomes the target of the next attack,
status_condition/name/digesting,Digerindo,Digesting,
status_condition/description/digesting,Algo de ruim pode acontecer ao atacar inimigo neste estado,Something bad might happen when attacking an enemy in this state,
status_condition/name/reflection,Refletindo,Reflecting,
status_condition/description/reflection,Reflete em um oponente todo dano recebido neste estado,"While in this state, reflects all damage back to an opponent",
status_condition/receive,\vsn(target_name) fica <color=#D73022>\vsn(status_condition)</color>.,\vsn(target_name) becomes <color=#D73022>\vsn(status_condition)</color>.,
status_condition/effect/turnDamageGuts,\vsn(target_name) sente a dor do seu machucado.,\vsn(target_name) feels the pain of his/her injury.,
status_condition/effect/turnDamageIntelligence,A tristeza de \vsn(target_name) machuca seu coração.,\vsn(target_name)'s sadness hurts his/her heart.,
status_condition/effect/turnDamageCharisma,\vsn(target_name) sente vergonha por estar todo sujo(a).,\vsn(target_name) is embarrassed about being all dirty.,
status_condition/name/distracted,Distraída,Distracted,
status_condition/description/distracted,Incapaz de agir,Unable to act,
status_condition/effect/distracted,\vsn(target_name) está distraída demais analisando o oponente.,\vsn(target_name) is too distracted analyzing the opponent.,
improve_relationship/say_0,<color=#D73022>\couple tornaram-se mais próximos!</color>,<color=#D73022>\couple got closer!</color>,
improve_relationship/say_1,<color=#D73022>\couple tornaram-se muito mais próximos!</color>,<color=#D73022>\couple got much closer!</color>,
improve_relationship/say_2,O relacionamento de \couple avançou! Eles tornaram-se <color=#D73022>Amigos Próximos!</color>,\couple's relationship advanced! They've become <color=#D73022>Close Friends!</color>,
improve_relationship/say_3,O relacionamento de \couple avançou bastante! Agora eles estão <color=#D73022>Apaixonados!</color>,\couple's relationship advanced a lot! They've fallen <color=#D73022>In Love</color> with each other!,
action/button/skills,Ações,Actions,
action/button/idle,Observar,Observe,
action/button/items,Itens,Items,
action/button/defend,Defender,Defend,
action/button/flee,Fugir,Flee,
action/button/back,Voltar,Back,
action/button/dare,Desafiar,Dare,
action/button/shout,Gritar,Shout,
action/button/shout,Atacar,Attack,
action/button/motivate,Motivar,Motivate,
action/button/think,Pensar,Think,
action/button/argue,Argumentar,Argue,
action/button/hack,Hackear,Hack,
action/button/improvise,Improvisar,Improvise,
action/button/bluff,Blefar,Bluff,
action/button/flatter,Elogiar,Flatter,
action/button/perform,Atuar,Perform,
action/button/soothe,Acalmar,Soothe,
action/button/pose,Posar,Pose,
action/button/talk,Conversar,Talk,
action/button/insult,Ofender,Insult,
action/button/complain,Reclamar,Complain,
action/button/beg,Pedir,Beg,
action/target/skill,Escolha um alvo para a habilidade:,Select a target for the skill:,
action/target/item,Escolha um alvo para o item:,Select a target for the item:,
action/use_active_skill,\vsn(active) usa <color=#D73022>\vsn(selected_action_name)</color>!,\vsn(active) uses <color=#D73022>\vsn(selected_action_name)</color>!,
action/use_passive_skill,A habilidade <color=#D73022>\vsn(selected_action_name)</color> de \vsn(active) foi ativada!,\vsn(active)'s skill <color=#D73022>\vsn(selected_action_name)</color> has been activated!,
action/use_item,\vsn(active) usa <color=#D73022>\vsn(selected_action_name)</color>!,\vsn(active) uses <color=#D73022>\vsn(selected_action_name)</color>!,
action/defend,\active defende.,\active defends.,
action/detect_angel,Noelia foi <color=#D73022>percebida</color>!\nAguarde <color=#D73022>2 turnos</color> para agir novamente.,Noelia has been <color=#D73022>spotted</color>!\nWait <color=#D73022>2 turns</color> before acting again.,
action/angel_can_act,Noelia pode agir novamente.,Noelia can act again.,
date/super_effective,SUPER!,SUPER!,
date/ineffective,fraco,weak,
date/weakness,Fraqueza:,Weakness:,
date/resistance,Resistência:,Resistance:,
date/success_message,VITÓRIA!,VICTORY!,
date/failure_message,DERROTA...,DEFEAT...,
date/heal_hp,<color=#D73022>O casal recuperou \vsn(recovered_hp) PC!</color>,<color=#D73022>The couple restored \vsn(recovered_hp) HP!</color>,
date/heal_status,<color=#D73022>Todas as condições negativas do casal foram curadas!</color>,<color=#D73022>The couple has been healed from all negative status!</color>,
action_descriptions/set_var_0,\couple tentam fugir da situação...,\couple try to escape the situation...,
action_descriptions/say_0,\couple tentam fugir da situação...,\couple try to escape the situation...,
action_descriptions/set_var_1,...mas não conseguem.,...but they can't.,
action_descriptions/say_1,...mas não conseguem.,...but they can't.,
action_descriptions/say_2,Não é possível escapar desse combate.,There's no running away from this battle.,
after_get_exp/say_0,O relacionamento de \couple passou de Nível!,\couple's relationship has leveled up!,
after_get_exp/say_1,Você ganhou uma Chave de Coração para desbloquear uma nova habilidade do casal.,"You have earned a Heart Key, which can unlock a new couple skill.",
after_get_exp/say_2,Agora a interação <color=#D73022>Encontro</color> está disponível para este casal!,Now <color=#D73022>Date</color> interaction is available for this couple!,
after_get_exp/say_3,Agora o Encontro <color=#D73022>Shopping</color> está disponível para este casal!,Now <color=#D73022>Shopping Mall</color> Date is available for this couple!,
after_get_exp/say_4,Agora o Encontro <color=#D73022>Parque 2</color> está disponível para este casal!,Now <color=#D73022>Park 2</color> Date is available for this couple!,
after_get_exp/say_5,\couple tornaram-se mais próximos.,\couple have become closer.,
after_get_exp/say_6,O relacionamento de \couple avançou! Eles tornaram-se <color=#D73022>Amigos Próximos!</color>,\couple's relationship has progressed! Now they are <color=#D73022>Close Friends!</color>,
after_get_exp/say_7,Agora a interação <color=#D73022>Presentear</color> está disponível para este casal e <color=#D73022>Conversar</color> concede o dobro de EXP!,<color=#D73022>Gift</color> interaction is now available for this couple and <color=#D73022>Talk</color> awards double the EXP!,
after_get_exp/say_8,O relacionamento de \couple avançou bastante! Agora eles estão <color=#D73022>Apaixonados!</color> <color=#D73022>Conversar</color> e <color=#D73022>Presentear</color> concedem o dobro de EXP de antes!,\couple's relationship advanced a lot! They've fallen <color=#D73022>In Love</color> with each other! <color=#D73022>Talk</color> and <color=#D73022>Gift</color> award double the EXP from before!,
