name	sfx	animation	debug
dare	action_dare	attack	
shout	action_shout	attack	
strike	action_strike	attack	
motivate	action_shout	attack	
think	action_think	attack	
argue	action_argue	attack	
hack	action_hacking	attack	
improvise	action_think	attack	
bluff	action_bluff	attack	
flatter	action_flatter	projectile(talk heart)	
perform	action_perform	projectile(talk heart)	
soothe	action_flatter	projectile(talk heart)	
pose	action_flatter	projectile(talk heart)	
talk	action_flatter	projectile(talk heart)	
insult	action_shout	attack	
complain	action_shout	attack	
beg	action_flatter	projectile(talk heart)	
