Id	Nome do Evento	Nome do Script	Dificuldade	Atributo Ataque	Dano	Efetividade Valentia	Efetividade Inteligencia	Efetividade Carisma	Efetividade Magia	Tipo de Interação	Localidade	Etapa	Nome Sprite	Notas
0	Pensa Rápido!	ball_a	8	guts	8	super	normal	baixa	normal	couple	parque	2	bola	parque
1	Pai Exigente	dad_a	5	---	0	baixa	normal	super	normal	male	generico	2	pai	início date
2	Valentão	bully_a	5	---	0	normal	super	normal	normal	female	generico	2	valentao	caminho
3	Ligação Inconveniente	call_a	5	---	0	normal	super	super	normal	female	generico	2	celular	qualquer
4	Revelação Íntima	revelation_a	5	---	0	normal	normal	super	normal	male	generico	2		qualquer
5	Coelhinho Ferido	bunny_a	5	---	0	baixa	normal	super	normal	male	parque	2	coelho	parque/floresta
6	Abrir Pote	open_jar_a	5	---	0	super	normal	baixa	normal	male	parque	2	pote	casa/culinária/piquenique/festival
1	Discussão Metafísica	discussion_a	5	---	0	baixa	normal	super	normal	male	parque	2		outdoors/ noite
2	Minhas Roupas!	clothing_a	5	---	0	normal	super	baixa	normal	male	parque	2	tornado_c_roupas	outdoors
3	Um Fotógrafo	photographer_a	5	---	0	super	normal	super	normal	female	shopping	2	fotografo	urbano
4	Máquina Engasgada	vending_a	5	---	0	super	baixa	normal	normal	male	shopping	2	maquina salgadinhos	urbano
5	Já Tem Nosso Cartão?	vendor_a	5	---	0	normal	super	normal	normal	male	shopping	2	vendedores	urbano/lojas
6	Escada Rolante	escalator_a	5	---	0	super	baixa	normal	normal	female	shopping	2	escada	shopping
7	Promoção-Relâmpago	sale_a	5	---	0	normal	super	normal	normal	female	shopping	2	multidao	shopping
