id	name	description	type	guts_bonus	intelligence_bonus	charisma_bonus	price	sprite	sells_in_store	key_item	debug
0	sports_clothes	sports_clothes	m	0	0	0	100	sports-clothing	yes	no	
1	dark_dress	dark_dress	m	0	0	0	100	black-dress	yes	no	
2	flower_dress	flower_dress	m	0	0	0	100	pink-dress	yes	no	
3	old_teddy_bear	old_teddy_bear	m	0	0	0	2	old-teddy	no	no	
4	teddy_bear	teddy_bear	m	0	0	0	50	teddy	yes	no	
5	delicate_key	delicate_key	m	0	0	0	0	delicate-key	no	yes	
6	book_draft	book_draft	m	0	0	0	0	files	no	yes	
7	script_drafts	script_drafts	m	0	0	0	0	blue-book	no	yes	
8	fancy_dagger	fancy_dagger	m	0	0	0	50	dagger	no	no	
9	chocolate_cake	chocolate_cake	m	0	0	0	60	brown-cake	no	yes	
10	strawberry_cake	strawberry_cake	m	0	0	0	60	pink-cake	no	yes	
11	pepper_cake	pepper_cake	m	0	0	0	30	red-cake	no	yes	
12	cake_batter	cake_batter	m	0	0	0	20	grain	yes	yes	
