id	name	types	range	heal hp	heal sp	heals status conditions	gives status conditions	duration	price	sprite	sells_in_store	tags	debug
0	sensor	celestial, battle	one_enemy	0	0			0	200	magnifying glass	3	celestial	
1	chocolate_cake	gift, battle	anyone	20	0	hunger		2	60	brown-cake	1	food	
2	strawberry_cake	gift, battle	anyone	20	0	hunger		2	60	pink-cake	0	food	
3	pepper_cake	gift, battle	anyone	20	0	hunger		2	60	red-cake	0	food	
4	soft_drink	gift, battle	anyone	0	10			0	100	soft drink can	1	drink	
5	calming_tea	gift, battle	anyone	0	0	sad, fear, angry, confusion		0	40	teacup	2	drink	
6	first_aid	gift, battle	anyone	0	0	injured, dizzyness, dirty		0	40	medical-pack	2		
7	holy_drink	gift, battle	anyone	0	0	hunger, dirty, injured, dizzyness, confusion, sad, fear, angry		0	80	holy-grail	3	celestial	
8	sports_clothes	gift	anyone	0	0			0	100	sports-clothing	2	clothing	
9	lab_coat	gift	anyone	0	0			0	100	lab-coat	2	clothing	
10	flower_dress	gift	anyone	0	0			0	100	pink-dress	2	clothing	
11	cake_batter	night	anyone	0	0			0	20	grain	0	material	
12	old_teddy_bear	gift	anyone	0	0			0	2	old-teddy	0		
13	teddy_bear	gift	anyone	0	0			0	50	teddy	2		
14	delicate_key	key	anyone	0	0			0	0	delicate-key	0	key	
15	book_draft	night	anyone	0	0			0	0	blue-book	0		
16	experiment_drafts	night	anyone	0	0			0	20	files	0		
17	tragic_newspaper	key	anyone	0	0			0	50	dagger	0		
