id	name	stackable	sprite	effect 1	effect 1 power	effect 2	effect 2 power	effect 3	effect 3 power	debug
0	encouraged	1	gutsy aura	raiseGuts	3					
1	focused	1	focus	raiseIntelligence	3					SUGESTÕES
2	inspired	1	inspiration	raiseCharisma	3					sono
3	fortified	1	strong	raiseEndurance	3					doença
4	injured	2	wound	turnDamageGuts	4					
5	sad	2	tears	turnDamageIntelligence	4					
6	dirty	2	dirty	turnDamageCharisma	4					
7	cursed	2	cursed	raiseEndurance	-2					
8	hunger	2	stomach	damageMultiplier	0.7					
9	dizzyness	1	blind	missAttacks	0.3					
10	confusion	1	blind	confusion	1					
11	fear	1	cursed	chanceToAutoDefend	0.33					
12	angry	1	angry-eyes	raiseGuts	2	raiseEndurance	-2	chanceToAutoUseGuts	0.33	
13	spotted	1	stealth-eye	cantAct	1					
14	charged	1	gutsy aura	damageMultiplier	2					
15	guardian	1	shield	becomeTarget	1	raiseEndurance	2			
16	digesting	1	stomach-red	digesting	1					
17	reflection	1	magic-shield	reflectOnSupport	1					
